epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9699,0,53.5895,0,0,0,0,0,0,37.8415,0,2e-05,2e-05,2e-05
2,24.2965,0,53.2503,0,0,0,0,0,0,37.8852,0,4.9505e-05,4.9505e-05,4.9505e-05
3,37.4288,0,52.5997,0,0,0,0,0,0,37.9075,0,7.8416e-05,7.8416e-05,7.8416e-05
4,49.6107,0,52.1716,0,0,0,0,0,0,37.9582,0,0.000106733,0.000106733,0.000106733
5,62.0006,0,51.7355,0,0,0,0,0,0,37.9761,0,0.000134456,0.000134456,0.000134456
6,74.5369,0,51.1745,0,0,0,0,0,0,37.9737,0,0.000161585,0.000161585,0.000161585
7,86.8947,0,50.5653,0,0,0,0,0,0,37.9472,0,0.00018812,0.00018812,0.00018812
8,99.2368,0,49.6637,0,0,0,0,0,0,37.9049,0,0.000214061,0.000214061,0.000214061
9,111.655,0,49.0837,0,0,0,0,0,0,37.8754,0,0.000239408,0.000239408,0.000239408
10,123.837,0,48.5432,0,0,0,0,0,0,37.8315,0,0.000264161,0.000264161,0.000264161
11,136.108,0,47.8563,0,0,0,0,0,0,37.7128,0,0.00028832,0.00028832,0.00028832
12,148.181,0,47.2494,0,0,0,0,0,0,37.5353,0,0.000311885,0.000311885,0.000311885
13,160.578,0,46.9613,0,0,0,0,0,0,37.3081,0,0.000334856,0.000334856,0.000334856
14,172.994,0,46.4173,0,0,0,0,0,0,37.0033,0,0.000357233,0.000357233,0.000357233
15,185.067,0,45.7385,0,0,0,0,0,0,37.0033,0,0.000379016,0.000379016,0.000379016
16,197.429,0,45.4029,0,0,0,0,0,0,36.6182,0,0.000400205,0.000400205,0.000400205
17,209.637,0,45.1702,0,0,0,0,0,0,36.1555,0,0.0004208,0.0004208,0.0004208
18,221.992,0,45.532,0,0,0,0,0,0,36.1555,0,0.000440801,0.000440801,0.000440801
19,235.449,0,44.6025,0,0,0,0,0,0,35.6438,0,0.000460208,0.000460208,0.000460208
20,248.151,0,43.9565,0,0,0,0,0,0,34.8807,0,0.000479021,0.000479021,0.000479021
21,260.79,0,43.596,0,0,0,0,0,0,34.8807,0,0.00049724,0.00049724,0.00049724
22,274.065,0,43.6794,0,0,0,0,0,0,33.9898,0,0.000514865,0.000514865,0.000514865
23,286.787,0,42.9069,0,0,0,0,0,0,33.9898,0,0.000531896,0.000531896,0.000531896
24,299.399,0,42.8493,0,0,0,0,0,0,33.0299,0,0.000548333,0.000548333,0.000548333
25,311.69,0,42.4708,0,0,0,0,0,0,33.0299,0,0.000564176,0.000564176,0.000564176
26,324.143,0,42.48,0,0,0,0,0,0,31.9343,0,0.000579425,0.000579425,0.000579425
27,336.326,0,42.2034,0,0,0,0,0,0,31.9343,0,0.00059408,0.00059408,0.00059408
28,348.809,0,42.7614,0,0,0,0,0,0,31.2015,0,0.000608141,0.000608141,0.000608141
29,361.339,0,41.7152,0,0,0,0,0,0,31.2015,0,0.000621608,0.000621608,0.000621608
30,373.488,0,41.4303,0,0,0,0,0,0,31.2015,0,0.000634481,0.000634481,0.000634481
31,386.202,0,41.5033,0,0,0,0,0,0,30.299,0,0.00064676,0.00064676,0.00064676
32,398.913,0,41.2149,0,0,0,0,0,0,30.299,0,0.000658445,0.000658445,0.000658445
33,411.451,0,41.1469,0,0,0,0,0,0,29.2157,0,0.000669536,0.000669536,0.000669536
34,424.013,0,40.7737,0,0,0,0,0,0,29.2157,0,0.0006733,0.0006733,0.0006733
35,436.372,0,40.8362,0,0,0,0,0,0,29.2157,0,0.0006634,0.0006634,0.0006634
36,448.879,0,40.5996,0,0,0,0,0,0,28.201,0,0.0006535,0.0006535,0.0006535
37,461.259,0,40.3594,0,0,0,0,0,0,28.201,0,0.0006436,0.0006436,0.0006436
38,473.799,0,40.2663,0,0,0,0,0,0,28.201,0,0.0006337,0.0006337,0.0006337
39,486.457,0,40.0719,0,0,0,0,0,0,27.1966,0,0.0006238,0.0006238,0.0006238
40,498.654,0,39.8152,0,0,0,0,0,0,27.1966,0,0.0006139,0.0006139,0.0006139
41,510.838,0,39.9206,0,0,0,0,0,0,27.1544,0,0.000604,0.000604,0.000604
42,523.23,0,39.5692,0,0,0,0,0,0,27.1544,0,0.0005941,0.0005941,0.0005941
43,535.796,0,39.5301,0,0,0,0,0,0,27.1544,0,0.0005842,0.0005842,0.0005842
44,548.351,0,39.5417,0,0,0,0,0,0,27.0655,0,0.0005743,0.0005743,0.0005743
45,560.899,0,39.2182,0,0,0,0,0,0,27.0655,0,0.0005644,0.0005644,0.0005644
46,573.252,0,39.2765,0,0,0,0,0,0,27.0655,0,0.0005545,0.0005545,0.0005545
47,586.263,0,38.9341,0,0,0,0,0,0,26.9791,0,0.0005446,0.0005446,0.0005446
